order_date_full,order_year,order_month,product_category,total_orders,total_customers,state,total_revenue,total_revenue_usd,avg_order_value,avg_order_value_usd,cumulative_revenue_ytd_usd,mom_revenue_change_usd
2017-02-01,2017,02,auto,2,2,DF,394.87,110.56,197.44,55.28,110.56,
2017-02-01,2017,02,auto,1,1,ES,245.68,68.79,245.68,68.79,68.79,
2017-02-01,2017,02,auto,1,1,GO,173.09,48.47,173.09,48.47,86.35,10.58
2017-02-01,2017,02,auto,13,13,MG,3897.6,1091.33,299.82,83.95,1429.23,753.43
2017-02-01,2017,02,auto,1,1,MT,112.46,31.49,112.46,31.49,31.49,
2017-02-01,2017,02,auto,1,1,PA,707.02,197.97,707.02,197.97,197.97,
2017-02-01,2017,02,auto,1,1,PB,89.52,25.07,89.52,25.07,25.07,
2017-02-01,2017,02,auto,1,1,PE,184.32,51.61,184.32,51.61,51.61,
2017-02-01,2017,02,auto,7,7,PR,3417.21,956.82,488.17,136.69,1358.18,555.45
2017-02-01,2017,02,auto,11,11,RJ,1712.73,479.56,155.7,43.6,561.81,397.32
2017-02-01,2017,02,auto,1,1,RN,34.84,9.76,34.84,9.76,9.76,
2017-02-01,2017,02,auto,1,1,RO,34.34,9.62,34.34,9.62,9.62,
2017-02-01,2017,02,auto,3,3,RS,260.33,72.89,86.78,24.3,185.44,-39.65
2017-02-01,2017,02,auto,2,2,SC,58.67,16.43,29.34,8.21,93.4,-60.54
2017-02-01,2017,02,auto,24,24,SP,6054.54,1695.27,252.27,70.64,3134.31,256.23
2017-02-01,2017,02,auto,1,1,TO,165.71,46.4,165.71,46.4,46.4,
2017-02-01,2017,02,baby,1,1,BA,208.16,58.28,208.16,58.28,58.28,
2017-02-01,2017,02,baby,1,1,ES,195.42,54.72,195.42,54.72,54.72,
2017-02-01,2017,02,baby,4,4,MG,381.73,106.88,95.43,26.72,647.0,-433.23
2017-02-01,2017,02,baby,1,1,PI,315.88,88.45,315.88,88.45,287.25,-110.35
2017-02-01,2017,02,baby,5,5,PR,415.74,116.41,83.15,23.28,245.27,-12.46
2017-02-01,2017,02,baby,3,3,RJ,1009.63,282.7,336.54,94.23,410.75,154.64
2017-02-01,2017,02,baby,2,2,RN,280.87,78.64,140.44,39.32,129.78,27.5
2017-02-01,2017,02,baby,1,1,RO,214.09,59.95,214.09,59.95,59.95,
2017-02-01,2017,02,baby,1,1,RS,60.96,17.07,60.96,17.07,775.32,-741.19
2017-02-01,2017,02,baby,1,1,SC,39.46,11.05,39.46,11.05,77.69,-55.59
2017-02-01,2017,02,baby,13,13,SP,1050.23,294.06,80.79,22.62,736.9,-148.78
2017-02-01,2017,02,bed_bath_table,2,2,AM,279.85,78.36,139.93,39.18,78.36,
2017-02-01,2017,02,bed_bath_table,4,4,BA,507.88,142.21,126.97,35.55,142.21,
2017-02-01,2017,02,bed_bath_table,2,2,DF,291.26,81.55,145.63,40.78,81.55,
2017-02-01,2017,02,bed_bath_table,1,1,ES,118.88,33.29,118.88,33.29,33.29,
2017-02-01,2017,02,bed_bath_table,1,1,MA,137.14,38.4,137.14,38.4,38.4,
2017-02-01,2017,02,bed_bath_table,27,27,MG,4815.96,1348.47,178.37,49.94,1516.47,1180.47
2017-02-01,2017,02,bed_bath_table,1,1,MS,103.79,29.06,103.79,29.06,29.06,
2017-02-01,2017,02,bed_bath_table,1,1,PB,137.14,38.4,137.14,38.4,38.4,
2017-02-01,2017,02,bed_bath_table,16,16,PR,5395.41,1510.71,337.21,94.42,1582.24,1439.19
2017-02-01,2017,02,bed_bath_table,24,24,RJ,3857.09,1079.99,160.71,45.0,1401.51,758.46
2017-02-01,2017,02,bed_bath_table,1,1,RO,653.64,183.02,653.64,183.02,183.02,
2017-02-01,2017,02,bed_bath_table,6,6,RS,655.96,183.67,109.33,30.61,259.56,107.77
2017-02-01,2017,02,bed_bath_table,1,1,SC,34.52,9.67,34.52,9.67,59.66,-40.33
2017-02-01,2017,02,bed_bath_table,59,59,SP,9231.0,2584.68,156.46,43.81,3167.21,2002.15
2017-02-01,2017,02,books_general_interest,1,1,BA,142.89,40.01,142.89,40.01,40.01,
2017-02-01,2017,02,books_general_interest,1,1,CE,145.01,40.6,145.01,40.6,40.6,
2017-02-01,2017,02,books_general_interest,3,3,RJ,300.68,84.19,100.23,28.06,84.19,
2017-02-01,2017,02,books_general_interest,1,1,RS,166.0,46.48,166.0,46.48,46.48,
2017-02-01,2017,02,books_general_interest,2,2,SP,195.44,54.72,97.72,27.36,130.76,-21.31
2017-02-01,2017,02,books_imported,1,1,MG,114.9,32.17,114.9,32.17,32.17,
2017-02-01,2017,02,books_technical,1,1,SP,182.4,51.07,182.4,51.07,51.07,
